Sector,Sub-Sector,Sub-Group,Scheme Status,Key Client,Project / Programme Name,Project or Programme,No of projects,Project Summary,ONS Region,Asset Ownership,Economically Regulated Asset,Funding Source,Start of Works / Construction (Projected),Date in Service (Projected),Total Capex Cost all funding (£m),Total Capex Cost Publicly Funded (£m),2017/18 (£m),2018/19 (£m),2019/20 (£m),2020/21 (£m), 2021/22 and Beyond (£m),Basis of Costs,Base Year,Data source (including web address),Public Notes, 2017/18 (£m constant), 2018/19 (£m constant), 2019/20 (£m constant), 2020/21 (£m constant), 2021/22 and Beyond (£m constant), 2018/19 to 2020/21 (£m constant), 2018/19 onwards (£m constant), East Midlands 2018/19 to 2020/21 (£m constant), East of England 2018/19 to 2020/21 (£m constant), London 2018/19 to 2020/21 (£m constant), North East 2018/19 to 2020/21 (£m constant), North West 2018/19 to 2020/21 (£m constant), South East 2018/19 to 2020/21 (£m constant), South West 2018/19 to 2020/21 (£m constant), West Midlands 2018/19 to 2020/21 (£m constant), Yorkshire and the Humber 2018/19 to 2020/21 (£m constant)
Energy,Oil & Gas,Oil & Gas,Active Programme,Various,Upstream Oil & Gas,Programme,Multiple,Upstream Oil & Gas,Offshore,Private,No,Private,Started,Ongoing," 41,021.93 ", -   ," 5,603.10 "," 5,800.00 "," 5,400.00 "," 5,000.00 "," 10,750.00 ",Constant,2017/18,Oil and Gas Authority; https://www.ogauthority.co.uk/data-centre/data-downloads-and-publications/production-projections/,Calendar year not financial year figures; 2017.," 5,603.10 "," 5,800.00 "," 5,400.00 "," 5,000.00 "," 10,750.00 "," 16,200.00 "," 26,950.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Water and sewerage (Coal Authority),Environment,Active Programme,Dept BEIS (previously DECC),Mine Water Treatment Schemes - New Scheme Build - Scotland,Programme,13,EU Water Framework Directive - Water Quality and Potable Water Supply and Flood Risk Management,Scotland,Central Government,No,Central Government,2015/16,2028/29, 15.08 , 15.08 , -   , 0.01 , 1.00 , 1.75 , 12.20 ,Nominal,,"Coal Authority Corporate Plan and Annual Report & Accounts
https://www.gov.uk/government/organisations ","Public source for further project details;
http://coal.decc.gov.uk/en/coal/cms/publications/annual_report/annual_report.aspx, or 
procurement@coal.gov.uk", -   , 0.01 , 0.97 , 1.67 , 10.91 , 2.65 , 13.56 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Water and sewerage (Coal Authority),Environment,Active Programme,Dept BEIS (previously DECC),Mine Water Treatment Schemes - New Scheme Build - Northumbria,Programme,3,EU Water Framework Directive - Water Quality and Potable Water Supply and Flood Risk Management,North East,Central Government,No,Central Government,2015/16,2027/28, 4.14 , 4.14 , 0.01 , -   , -   , -   , 1.85 ,Nominal,,"Coal Authority Corporate Plan and Annual Report & Accounts
https://www.gov.uk/government/organisations ","Public source for further project details;
http://coal.decc.gov.uk/en/coal/cms/publications/annual_report/annual_report.aspx, or 
procurement@coal.gov.uk", 0.01 , -   , -   , -   , 1.66 , -   , 1.66 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Water and sewerage (Coal Authority),Environment,Active Programme,Dept BEIS (previously DECC),Mine Water Treatment Schemes - New Scheme Build - Durham,Programme,Multiple,EU Water Framework Directive - Water Quality and Potable Water Supply and Flood Risk Management,North East,Central Government,No,Central Government,2018/19,2018/19, 0.09 , 0.09 , -   , 0.08 , -   , -   , -   ,Nominal,,"Coal Authority Corporate Plan and Annual Report & Accounts
https://www.gov.uk/government/organisations ","Public source for further project details;
http://coal.decc.gov.uk/en/coal/cms/publications/annual_report/annual_report.aspx, or 
procurement@coal.gov.uk", -   , 0.08 , -   , -   , -   , 0.08 , 0.08 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Water and sewerage (Coal Authority),Environment,Active Programme,Dept BEIS (previously DECC),Mine Water Treatment Schemes - New Scheme Build - East Midlands/Yorkshire,Programme,12,EU Water Framework Directive - Water Quality and Potable Water Supply and Flood Risk Management,East Midlands,Central Government,No,Central Government,2016/17,2028/29, 17.95 , 17.95 , -   , -   , -   , 2.00 , 15.20 ,Nominal,,"Coal Authority Corporate Plan and Annual Report & Accounts
https://www.gov.uk/government/organisations ","Public source for further project details;
http://coal.decc.gov.uk/en/coal/cms/publications/annual_report/annual_report.aspx, or 
procurement@coal.gov.uk", -   , -   , -   , 1.91 , 13.48 , 1.91 , 15.39 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Water and sewerage (Coal Authority),Environment,Active Programme,Dept BEIS (previously DECC),Mine Water Treatment Schemes - New Scheme Build - Wales,Programme,12,EU Water Framework Directive - Water Quality and Potable Water Supply and Flood Risk Management,Wales,Central Government,No,Central Government,2015/16,2028/29, 13.88 , 13.88 , 0.02 , -   , -   , -   , 13.50 ,Nominal,,"Coal Authority Corporate Plan and Annual Report & Accounts
https://www.gov.uk/government/organisations ","Public source for further project details;
http://coal.decc.gov.uk/en/coal/cms/publications/annual_report/annual_report.aspx, or 
procurement@coal.gov.uk", 0.02 , -   , -   , -   , 11.99 , -   , 11.99 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Water and sewerage (Coal Authority),Environment,Active Programme,Dept BEIS (previously DECC),Mine Water Treatment Schemes - New Scheme Build - Consultancy Costs (Scheme Design and Build Supervision),Programme,Multiple,EU Water Framework Directive - Water Quality and Potable Water Supply and Flood Risk Management,UK,Central Government,No,Central Government,2015/16,2031/32, 4.88 , 4.88 , 0.31 , 0.65 , 0.25 , 0.25 , 3.15 ,Nominal,,"Coal Authority Corporate Plan and Annual Report & Accounts
https://www.gov.uk/government/organisations ","Public source for further project details;
http://coal.decc.gov.uk/en/coal/cms/publications/annual_report/annual_report.aspx, or 
procurement@coal.gov.uk", 0.31 , 0.64 , 0.24 , 0.24 , 2.84 , 1.12 , 3.95 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Water and sewerage (Coal Authority),Environment,Active Programme,Dept BEIS (previously DECC),Mine Water Treatment Schemes - New Scheme Build - Other Scheme Costs (including land acquisition and power supply),Programme,Multiple,EU Water Framework Directive - Water Quality and Potable Water Supply and Flood Risk Management,UK,Central Government,No,Central Government,2016/17,2031/32, 4.54 , 4.54 , 0.39 , 0.28 , 0.41 , 0.41 , 3.01 ,Nominal,,"Coal Authority Corporate Plan and Annual Report & Accounts
https://www.gov.uk/government/organisations ","Public source for further project details;
http://coal.decc.gov.uk/en/coal/cms/publications/annual_report/annual_report.aspx, or 
procurement@coal.gov.uk", 0.39 , 0.27 , 0.40 , 0.39 , 2.71 , 1.06 , 3.77 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Water and sewerage (Coal Authority),Environment,Active Programme,Dept BEIS (previously DECC),Mine Water Treatment Schemes - Refurbishment Programme,Programme,Multiple,EU Water Framework Directive - Water Quality and Potable Water Supply and Flood Risk Management,UK,Central Government,No,Central Government,2015/16,2031/32, 52.58 , 52.58 , 3.64 , 5.03 , 6.07 , 3.20 , 30.99 ,Nominal,,"Coal Authority Corporate Plan and Annual Report & Accounts
https://www.gov.uk/government/organisations ","Public source for further project details;
http://coal.decc.gov.uk/en/coal/cms/publications/annual_report/annual_report.aspx, or 
procurement@coal.gov.uk", 3.64 , 4.95 , 5.88 , 3.05 , 27.25 , 13.89 , 41.14 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Water and sewerage (Coal Authority),Environment,Active Programme,Dept BEIS (previously DECC),Mine Water Treatment Schemes - Innovation Programme,Programme,Multiple,EU Water Framework Directive - Water Quality and Potable Water Supply and Flood Risk Management,UK,Central Government,No,Central Government,2016/17,2021/22, 4.19 , 4.19 , 0.68 , 0.81 , 0.80 , 0.80 , 0.70 ,Nominal,,"Coal Authority Corporate Plan and Annual Report & Accounts
https://www.gov.uk/government/organisations ","Public source for further project details;
http://coal.decc.gov.uk/en/coal/cms/publications/annual_report/annual_report.aspx, or 
procurement@coal.gov.uk", 0.68 , 0.80 , 0.78 , 0.76 , 0.67 , 2.34 , 3.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Water and sewerage (Coal Authority),Environment,Active Programme,Dept BEIS (previously DECC),"Mine Water Treatment Schemes - New Scheme Build & Refurbishment - (including Other Scheme Costs, consultancy, land acquisition, power supply and Innovation)",Programme,Multiple,EU Water Framework Directive - Water Quality and Potable Water Supply and Flood Risk Management,UK,Central Government,No,Central Government,2016/17,2031/32, 131.32 , 131.32 , 5.05 , 6.85 , 8.53 , 8.41 , 94.60 ,Nominal,,"Coal Authority Corporate Plan and Annual Report & Accounts
https://www.gov.uk/government/organisations ","Public source for further project details;
http://coal.decc.gov.uk/en/coal/cms/publications/annual_report/annual_report.aspx, or 
procurement@coal.gov.uk", 5.05 , 6.75 , 8.27 , 8.02 , 84.11 , 23.04 , 107.15 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Water and sewerage (Coal Authority),Environment,Scoping,Dept BEIS (previously DECC),Mine Water Treatment Schemes - New Scheme Build - Lancashire,Programme,9,EU Water Framework Directive - Water Quality and Potable Water Supply and Flood Risk Management,North West,Central Government,No,Central Government,2021/22,2027/28, 12.50 , 12.50 , -   , -   , -   , -   , 12.50 ,Nominal,,"Coal Authority Corporate Plan and Annual Report & Accounts
https://www.gov.uk/government/organisations ","Public source for further project details;
http://coal.decc.gov.uk/en/coal/cms/publications/annual_report/annual_report.aspx, or 
procurement@coal.gov.uk", -   , -   , -   , -   , 11.23 , -   , 11.23 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Energy,Water and sewerage (Coal Authority),Environment,Scoping,Dept BEIS (previously DECC),Mine Water Treatment Schemes - New Scheme Build - West Midlands,Programme,2,EU Water Framework Directive - Water Quality and Potable Water Supply and Flood Risk Management,West Midlands,Central Government,No,Central Government,2024/25,2025/26, 1.50 , 1.50 , -   , -   , -   , -   , 1.50 ,Nominal,,"Coal Authority Corporate Plan and Annual Report & Accounts
https://www.gov.uk/government/organisations ","Public source for further project details;
http://coal.decc.gov.uk/en/coal/cms/publications/annual_report/annual_report.aspx, or 
procurement@coal.gov.uk", -   , -   , -   , -   , 1.35 , -   , 1.35 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Capital Projects > £50m,Active Programme,Environment Agency,Thames Estuary Asset Management 2100 (Phase 2015/16 to 2020/21),Programme,Multiple,"Further reductions in flood risk through refurbishing and improving the tidal defences protecting London and the Thames estuary with an overall cost benefit of £38 for every £1 spent. The investment programme includes works to barriers, gates, walls, embankments and pumping stations in delivering the government approved Thames Estuary 2100 Plan",South East,Central Government,No,Central Government/Private,Various,Various, 157.14 , 129.10 , 24.38 , 27.50 , 31.10 , 36.50 , -   ,Nominal,,,, 24.38 , 27.09 , 30.16 , 34.82 , -   , 92.07 , 92.07 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Capital Projects > £50m,Active Programme,Environment Agency,Leeds Phase 2 flood defence,project,1,Capital investments to deliver additional flood defence scheme in Leeds ,Yorkshire and the Humber,Central Government,No,Central Government/Private,2019/20,2022/23, 84.40 , 64.40 , 1.40 , 2.00 , 10.00 , 20.00 , 50.00 ,Nominal,,,, 1.40 , 1.97 , 9.70 , 19.08 , 47.10 , 30.75 , 77.85 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Capital Projects > £50m,In Construction,Environment Agency,Boston Barrage/Barrier Works,project,1,Primarily a tidal surge barrier with the opportunity to deliver water level control if contributions are forthcoming,East Midlands,Central Government,No,Central Government,2017/18,2019/20, 88.66 , 88.66 , 4.91 , 31.40 , 30.50 , 8.10 , 2.70 ,Nominal,,,, 4.91 , 30.93 , 29.58 , 7.73 , 2.54 , 68.24 , 70.77 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Capital Projects > £50m,In Construction,Environment Agency,OCOR - Derby Flood Risk Management Scheme,project,1,Flood allevaition scheme up and downstream of Derby and through Derby City Centre.,East Midlands,Central Government,No,Central Government/Private,2015/16,21/22, 86.40 , 30.80 , 7.90 , 12.80 , 11.90 , 14.50 , 6.20 ,Nominal,,,, 7.90 , 12.61 , 11.54 , 13.83 , 5.81 , 37.98 , 43.79 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Capital Projects > £50m,In Construction,Environment Agency,Ipswich Flood Defence Management Strategy: Tidal Barrier,project,1,Ipswich Flood Defence Management Strategy: Tidal Barrier,England,Central Government,No,Central Government/Private,2015/16,2018/19, 61.80 , 49.50 , 9.40 , 0.50 , 0.10 , 0.10 , -   ,Nominal,,,, 9.40 , 0.49 , 0.10 , 0.10 , -   , 0.68 , 0.68 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Capital Projects > £50m,Scoping,Environment Agency,Oxford Flood Alleviation Scheme,project,1,History of flooding with 3808 properties at risk. Mandate to secure funding for the viable Western Conveyance Channel - includes Partnership Funding aspects.,South East,Central Government,No,Central Government/Private,2018/19,2021/22, 144.05 , 30.90 , 8.00 , 16.90 , 40.50 , 32.40 , 40.10 ,Nominal,,,, 8.00 , 16.65 , 39.28 , 30.91 , 35.88 , 86.83 , 122.72 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Capital Projects > £50m,Scoping,Environment Agency,Southsea,project,1,Construction of FCERM schemes to frontages identified as having low residual lives or where the standard of protection does not meet the strategies recommended safe standard of 0.5% AEP. Project will link to regeneration opportunities and seek external contributions,South East,Central Government,No,Central Government/Private,2018/19,2024/25, 75.70 , 71.70 , 4.90 , 5.40 , 8.00 , 10.90 , 44.90 ,Nominal,,,, 4.90 , 5.32 , 7.76 , 10.40 , 41.38 , 23.48 , 64.85 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Capital Projects > £50m,Scoping,Environment Agency,River Thames Scheme - Capacity Improvements and Flood Channel,project,1,"Scheme to increase the capacity of the River Thames between Datchet and Teddington locks and reduce the flood risk in Windsor and Maidenhead, Spelthorne, Runny meade, Elmsbridge, kingsto upon Thames and Richmond.",London,Central Government,No,Central Government/Private,2019/20,2024/25, 449.74 , 108.10 , 3.60 , 4.10 , 6.30 , 72.90 , 348.60 ,Nominal,,,, 3.60 , 4.04 , 6.11 , 69.55 , 323.28 , 79.69 , 402.97 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Other capital investments delivering FCRM outcomes,Various,Environment Agency,Other capital investments delivering FCRM outcomes,Programme,Multiple,"Capital investments deliver a range of benefits such as monitoring & forecasting improvements, flood warnings and reducing carbon emissions.",England,Central Government,No,Central Government/Private,Various,Various, 421.90 , 421.90 , 81.00 , 73.70 , 57.70 , 59.60 , -   ,Nominal,,,, 81.00 , 72.60 , 55.96 , 56.86 , -   , 185.41 , 185.41 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Regional capital spend,Active Programme,Environment Agency,North East Construction programme,Programme,92,"A maximum forecast of 4,276 homes at reduced flood risk between April 2015 and March 2021. Note these figures do not include the itemised flood risk projects highlighted as separate lines within this plan.",North East,Central Government,No,Central Government/Private,Various,Various, 151.24 , 115.14 , 16.40 , 10.80 , 0.51 , -   , -   ,Nominal,,,, 16.40 , 10.64 , 0.50 , -   , -   , 11.14 , 11.14 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Regional capital spend,Active Programme,Environment Agency,North West Construction programme,Programme,73,"A maximum forecast of 20,445 homes at reduced flood risk between April 2015 and March 2021. Note these figures do not include the itemised flood risk projects highlighted as separate lines within this plan.",North West,Central Government,No,Central Government/Private,Various,Various, 162.11 , 104.68 , 16.30 , 16.59 , 6.65 , 0.14 , -   ,Nominal,,,, 16.30 , 16.34 , 6.45 , 0.13 , -   , 22.93 , 22.93 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Regional capital spend,Active Programme,Environment Agency,Yorkshire & the Humber Construction programme,Programme,142,"A maximum forecast of 35,788 homes at reduced flood risk between April 2015 and March 2021. Note these figures do not include the itemised flood risk projects highlighted as separate lines within this plan.",Yorkshire and the Humber,Central Government,No,Central Government/Private,Various,Various, 431.84 , 318.10 , 37.50 , 46.52 , 22.52 , 4.26 , -   ,Nominal,,,, 37.50 , 45.83 , 21.84 , 4.06 , -   , 71.73 , 71.73 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Regional capital spend,Active Programme,Environment Agency,East Midlands Construction programme,Programme,43,"A maximum forecast of 5,408 homes at reduced flood risk between April 2015 and March 2021. Note these figures do not include the itemised flood risk projects highlighted as separate lines within this plan.",East Midlands,Central Government,No,Central Government/Private,Various,Various, 132.13 , 85.74 , 12.10 , 5.17 , 1.04 , 0.40 , -   ,Nominal,,,, 12.10 , 5.09 , 1.01 , 0.38 , -   , 6.48 , 6.48 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Regional capital spend,Active Programme,Environment Agency,West Midlands Construction programme,Programme,45,"A maximum forecast of 3,328 homes at reduced flood risk between April 2015 and March 2021. Note these figures do not include the itemised flood risk projects highlighted as separate lines within this plan.",West Midlands,Central Government,No,Central Government/Private,Various,Various, 64.51 , 58.19 , 10.40 , 13.09 , 5.70 , 1.30 , -   ,Nominal,,,, 10.40 , 12.89 , 5.53 , 1.24 , -   , 19.66 , 19.66 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Regional capital spend,Active Programme,Environment Agency,East of England Construction programme,Programme,27,A maximum forecast of 959 homes at reduced flood risk between April 2015 and March 2021. Note these figures do not include the itemised flood risk projects highlighted as separate lines within this plan.,East of England,Central Government,No,Central Government/Private,Various,Various, 377.10 , 189.17 , 8.60 , 4.41 , 4.75 , 4.21 , -   ,Nominal,,,, 8.60 , 4.34 , 4.61 , 4.02 , -   , 12.97 , 12.97 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Regional capital spend,Active Programme,Environment Agency,London Construction programme,Programme,25,"A maximum forecast of 3,901 homes at reduced flood risk between April 2015 and March 2021. Note these figures do not include the itemised flood risk projects highlighted as separate lines within this plan.",London,Central Government,No,Central Government/Private,Various,Various, 48.23 , 37.13 , 1.70 , 2.70 , 1.58 , 0.67 , -   ,Nominal,,,, 1.70 , 2.66 , 1.53 , 0.64 , -   , 4.83 , 4.83 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Regional capital spend,Active Programme,Environment Agency,South East Construction programme,Programme,87,"A maximum forecast of 54,038 homes at reduced flood risk between April 2015 and March 2021. Note these figures do not include the itemised flood risk projects highlighted as separate lines within this plan.",South East,Central Government,No,Central Government/Private,Various,Various, 385.21 , 225.89 , 37.00 , 29.53 , 19.52 , 14.65 , -   ,Nominal,,,, 37.00 , 29.09 , 18.93 , 13.98 , -   , 62.00 , 62.00 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Regional capital spend,Active Programme,Environment Agency,South West Construction programme,Programme,75,"A maximum forecast of 18,833 homes at reduced flood risk between April 2015 and March 2021. Note these figures do not include the itemised flood risk projects highlighted as separate lines within this plan.",South West,Central Government,No,Central Government/Private,Various,Various, 200.22 , 125.38 , 33.80 , 15.35 , 3.27 , 1.28 , -   ,Nominal,,,, 33.80 , 15.12 , 3.17 , 1.22 , -   , 19.51 , 19.51 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Regional capital spend,Active Programme,Environment Agency,"Calder Valley, York & Cumbria flood defence",Programme,Multiple,"Capital investments to deliver additional flood defence schemes including, Calder Valley, York, wider Cumbria",England,Central Government,No,Central Government,Various,Various, 142.15 , 129.50 , 9.60 , 23.80 , 46.80 , 39.00 , 20.90 ,Nominal,,,, 9.60 , 23.44 , 45.39 , 37.21 , 19.74 , 106.04 , 125.78 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Regional capital spend,Scoping,Environment Agency,North East Development programme,Programme,52,"A maximum forecast of 1,518 homes at reduced flood risk between April 2015 and March 2021. Note these figures do not include the itemised flood risk projects highlighted as separate lines within this plan.",North East,Central Government,No,Central Government/Private,Various,Various, 63.96 , 33.54 , 5.60 , 19.93 , 11.18 , 23.50 , -   ,Nominal,,,, 5.60 , 19.64 , 10.84 , 22.42 , -   , 52.90 , 52.90 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Regional capital spend,Scoping,Environment Agency,North West Development programme,Programme,115,"A maximum forecast of 7,821 homes at reduced flood risk between April 2015 and March 2021. Note these figures do not include the itemised flood risk projects highlighted as separate lines within this plan.",North West,Central Government,No,Central Government/Private,Various,Various, 123.07 , 79.45 , 24.30 , 24.87 , 20.38 , 43.48 , -   ,Nominal,,,, 24.30 , 24.50 , 19.77 , 41.47 , -   , 85.74 , 85.74 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Regional capital spend,Scoping,Environment Agency,Yorkshire & the Humber Development programme,Programme,118,"A maximum forecast of 44,357 homes at reduced flood risk between April 2015 and March 2021. Note these figures do not include the itemised flood risk projects highlighted as separate lines within this plan.",Yorkshire and the Humber,Central Government,No,Central Government/Private,Various,Various, 304.77 , 191.32 , 58.90 , 72.51 , 75.46 , 62.61 , -   ,Nominal,,,, 58.90 , 71.43 , 73.18 , 59.73 , -   , 204.34 , 204.34 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Regional capital spend,Scoping,Environment Agency,East Midlands Development programme,Programme,62,"A maximum forecast of 10,486 homes at reduced flood risk between April 2015 and March 2021. Note these figures do not include the itemised flood risk projects highlighted as separate lines within this plan.",East Midlands,Central Government,No,Central Government/Private,Various,Various, 85.17 , 51.60 , 14.40 , 21.61 , 22.05 , 23.27 , -   ,Nominal,,,, 14.40 , 21.29 , 21.38 , 22.20 , -   , 64.87 , 64.87 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Regional capital spend,Scoping,Environment Agency,West Midlands Development programme,Programme,43,"A maximum forecast of 6,515 homes at reduced flood risk between April 2015 and March 2021. Note these figures do not include the itemised flood risk projects highlighted as separate lines within this plan.",West Midlands,Central Government,No,Central Government/Private,Various,Various, 61.34 , 42.23 , 9.40 , 9.32 , 17.53 , 20.31 , -   ,Nominal,,,, 9.40 , 9.18 , 17.00 , 19.38 , -   , 45.55 , 45.55 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Regional capital spend,Scoping,Environment Agency,East of England Development programme,Programme,83,"A maximum forecast of 8,370 homes at reduced flood risk between April 2015 and March 2021. Note these figures do not include the itemised flood risk projects highlighted as separate lines within this plan.",East of England,Central Government,No,Central Government/Private,Various,Various, 181.51 , 74.61 , 20.20 , 61.85 , 48.75 , 43.90 , -   ,Nominal,,,, 20.20 , 60.92 , 47.28 , 41.88 , -   , 150.09 , 150.09 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Regional capital spend,Scoping,Environment Agency,London Development programme,Programme,54,"A maximum forecast of 1,888 homes at reduced flood risk between April 2015 and March 2021. Note these figures do not include the itemised flood risk projects highlighted as separate lines within this plan.",London,Central Government,No,Central Government/Private,Various,Various, 65.99 , 34.18 , 12.30 , 12.20 , 21.76 , 16.45 , -   ,Nominal,,,, 12.30 , 12.01 , 21.10 , 15.70 , -   , 48.81 , 48.81 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Regional capital spend,Scoping,Environment Agency,South East Development programme,Programme,105,"A maximum forecast of 12,846 homes at reduced flood risk between April 2015 and March 2021. Note these figures do not include the itemised flood risk projects highlighted as separate lines within this plan.",South East,Central Government,No,Central Government/Private,Various,Various, 217.71 , 99.24 , 23.60 , 38.92 , 56.86 , 66.72 , -   ,Nominal,,,, 23.60 , 38.34 , 55.15 , 63.65 , -   , 157.14 , 157.14 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Flood,Flood,Regional capital spend,Scoping,Environment Agency,South West Development programme,Programme,131,"A maximum forecast of 8,333 homes at reduced flood risk between April 2015 and March 2021. Note these figures do not include the itemised flood risk projects highlighted as separate lines within this plan.",South West,Central Government,No,Central Government/Private,Various,Various, 213.04 , 91.71 , 25.20 , 55.22 , 57.55 , 61.79 , -   ,Nominal,,,, 25.20 , 54.40 , 55.81 , 58.95 , -   , 169.16 , 169.16 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Transport,Airports,Airports,Active Programme,Birmingham International Airport,Birmingham Internation Airport,Programme,6,"Runway Extension, Taxiway System, Terminal North, Terminal South, Landside Infrastructure/Car Parks and Regulatory Works",West Midlands,Private,No,Private,2015/16,Various, 263.07 , -   , 35.00 , 47.93 , 42.92 , 16.98 , 95.01 ,Nominal,,Draft Business Plan - not yet approved,, 35.00 , 47.21 , 41.62 , 16.20 , 86.17 , 105.04 , 191.21 , -   , -   , -   , -   , -   , -   , -   , 105.04 , -   
Transport,Airports,Airports,Active Programme,Bristol Airport,Bristol Airport,Programme,Multiple,"Expansion of airport - extended terminal building, provision of new aircraft stands, car parking and ancillary supporting developments.",South West,Private,No,Private,2017,Various, 228.70 , -   , 35.70 , 31.50 , 26.20 , 28.80 , 67.70 ,Constant,2012/13,,, 38.59 , 34.05 , 28.32 , 31.13 , 73.19 , 93.51 , 166.70 , -   , -   , -   , -   , -   , -   , 93.51 , -   , -   
Transport,Airports,Airports,Active Programme,London City Airport,City Airport Development Programme,Programme,Multiple,"CADP 1 – taxilane, aircraft parking stands and extension of current terminal building and new East Pier, CADP 2 – hotel. Other projects include dock bed, control tower and West Pier improvements.",London,Private,No,Private,2017,2025, 570.00 , -   , 70.00 , 105.00 , 175.00 , 150.00 , 70.00 ,Nominal,,,, 70.00 , 103.43 , 169.72 , 143.10 , 66.78 , 416.25 , 483.03 , -   , -   , 416.25 , -   , -   , -   , -   , -   , -   
Transport,Airports,Airports,Active Programme,Global Infrastructure Partners,Edinburgh Airport,Programme,Multiple,"Capital investment programme including: Terminal Expansion Programme, 15,000m² providing additional gates, gate room, lounge, passenger boarding bridges, Expansion of existing Border Force operations, security capacity and check-in capacity, Baggage Futures, Programme, Regulatory compliance to Standard 3 hold baggage screening technology (EU + UK directive), Airfield Programme, Rehabilitation of existing pavement, runway as well as provision of capacity to support growth to 2021  
",Scotland,Private,No,Private,2016/17,Various, 198.70 , -   , 50.00 , 49.40 , 33.70 , 24.80 , 22.20 ,Nominal,,,, 50.00 , 48.66 , 32.68 , 23.66 , 21.18 , 105.00 , 126.18 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Transport,Airports,Airports,Active Programme,Global Infrastructure Partners,Gatwick Capital Investment Programme,Programme,Multiple,"The Capital Investment Programme is a rolling five-year plan which sets out the airport's investment strategy to improve facilities and services over the next five year period. For 2017-22 this includes: Enhancing passenger service, an extension to Pier 6 as well as stand re-configurations to provide more aircraft parking and the expansion of the North Terminal border facilities to handle more long-haul arrivals, A new domestic arrivals facility, including a new baggage reclaim, in South Terminal, A suite of IT projects supporting core airport functions and improving our passengers' experience, Expanding the departures lounge in both terminals, A new hangar built in partnership with Boeing to better service and maintain aircraft on-site, Extending the roll-out of self-service bag drop, automating the boarding process at the gate to make embarkation more efficient and help on-time performance, Additional car parking capacity for both long and short-stay customers, Improved access to South Terminal for passengers and staff using local buses to travel to and from the airport and Projects to support greater use of electric vehicles.",South East,Private,Yes,Private,2014,2020/21," 1,198.10 ", -   , 249.00 , 253.40 , 246.60 , 227.20 , -   ,Constant,2014/15,,, 260.98 , 265.59 , 258.46 , 238.13 , -   , 762.18 , 762.18 , -   , -   , -   , -   , -   , 762.18 , -   , -   , -   
